Langue;Certificat;Niveau;Objectif Pro;Objectif aca;Objectif mobilité;informations
Espagnol;DELE A1;A1;professionnel;académique;mobilité;http://www.dele.org/french/ 
Espagnol;DELE A2;A2;professionnel;académique;mobilité;http://www.dele.org/french/ 
Espagnol;DELE B1;B1;professionnel;académique;mobilité;http://www.dele.org/french/ 
Espagnol;DELE B2;B2;professionnel;académique;mobilité;http://www.dele.org/french/ 
Espagnol;DELE C1;C1;professionnel;académique;mobilité;http://www.dele.org/french/ 
Espagnol;DELE C2;C2;professionnel;académique;mobilité;http://www.dele.org/french/ 
Espagnol;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/espanol/parts-of-the-exam/ 
Espagnol;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/espanol/parts-of-the-exam/ 
Espagnol;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/espanol/parts-of-the-exam/ 
Espagnol;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/espanol/parts-of-the-exam/ 
Espagnol;ELYTE (0-69);A1;professionnel;;;http://www.cocef.com/fr/formation-certification/test-elyte/presentation 
Espagnol;ELYTE (70-99);A2;professionnel;;;http://www.cocef.com/fr/formation-certification/test-elyte/presentation 
Espagnol;ELYTE (100-129);B1;professionnel;;;http://www.cocef.com/fr/formation-certification/test-elyte/presentation 
Espagnol;ELYTE (130-154);B2;professionnel;;;http://www.cocef.com/fr/formation-certification/test-elyte/presentation 
Espagnol;ELYTE (155-174);C1;professionnel;;;http://www.cocef.com/fr/formation-certification/test-elyte/presentation 
Espagnol;ELYTE (175-200);C2;professionnel;;;http://www.cocef.com/fr/formation-certification/test-elyte/presentation 
Espagnol;SIELE;NA;professionnel;académique;mobilité;https://siele.org/siele-global 
Espagnol;TELC A1;A1;professionnel;académique;mobilité;https://www.telc.net/es/candidatos-a-examen/examenes-de-idiomas/filter.html 
Espagnol;TELC A2;A2;professionnel;académique;mobilité;https://www.telc.net/es/candidatos-a-examen/examenes-de-idiomas/filter.html 
Espagnol;TELC B1;B1;professionnel;académique;mobilité;https://www.telc.net/es/candidatos-a-examen/examenes-de-idiomas/filter.html 
Espagnol;TELC B2;B2;professionnel;académique;mobilité;https://www.telc.net/es/candidatos-a-examen/examenes-de-idiomas/filter.html 
Espagnol;TELC C1;C1;professionnel;académique;mobilité;https://www.telc.net/es/candidatos-a-examen/examenes-de-idiomas/filter.html 
Français;BULATS;A1;professionnel;;;http://www.bulats.org/fr 
Français;BULATS;A2;professionnel;;;http://www.bulats.org/fr 
Français;BULATS;B1;professionnel;;;http://www.bulats.org/fr 
Français;BULATS;B2;professionnel;;;http://www.bulats.org/fr 
Français;BULATS;C1;professionnel;;;http://www.bulats.org/fr 
Français;BULATS;C2;professionnel;;;http://www.bulats.org/fr 
Français;DCL;A1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Français;DCL;A2;professionnel;académique;mobilité;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Français;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Français;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Français;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Français;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Français;TELC A1;A1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Français;TELC A2;A2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Français;TELC B1;B1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Français;TELC B2;B2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Français;TELC C1;C1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Français;DELF - A1;A1;professionnel;académique;mobilité;http://www.ciep.fr/delf-dalf 
Français;DELF - A2;A2;professionnel;académique;mobilité;http://www.ciep.fr/delf-dalf 
Français;DELF - B1;B1;professionnel;académique;mobilité;http://www.ciep.fr/delf-dalf 
Français;DELF - B2;B2;professionnel;académique;mobilité;http://www.ciep.fr/delf-dalf 
Français;DALF - C1;C1;professionnel;académique;mobilité;http://www.ciep.fr/delf-dalf 
Français;DALF - C2;C2;professionnel;académique;mobilité;http://www.ciep.fr/delf-dalf 
Français;TCF-DAP;B2;;académique;;http://www.ciep.fr/tcf 
Français;TFI (190);A2;professionnel;académique;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Le-test-TFI 
Français;TFI (345);B1;professionnel;académique;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Le-test-TFI 
Français;TFI (605);B2;professionnel;académique;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Le-test-TFI 
Français;TFI (825);C1;professionnel;académique;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Le-test-TFI 
Français;TCF (100-199);A1;professionnel;académique;mobilité;http://www.ciep.fr/tcf 
Français;TCF (200-299);A2;professionnel;académique;mobilité;http://www.ciep.fr/tcf 
Français;TCF (300-399);B1;professionnel;académique;mobilité;http://www.ciep.fr/tcf 
Français;TCF (400-499);B2;professionnel;académique;mobilité;http://www.ciep.fr/tcf 
Français;TCF (500-599);C1;professionnel;académique;mobilité;http://www.ciep.fr/tcf 
Français;TCF (600-699);C2;professionnel;académique;mobilité;http://www.ciep.fr/tcf 
Grec;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Grec;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Grec;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Grec;Certificat Grecque A;A2;professionnel;académique;mobilité;http://www.greek-language.gr/greekLang/certification/04a.html 
Grec;Certificat Grecque B;B1;professionnel;académique;mobilité;http://www.greek-language.gr/greekLang/certification/04b.html 
Grec;Certificat Grecque C;B2;professionnel;académique;mobilité;http://www.greek-language.gr/greekLang/certification/04c.html 
Grec;Certificat Grecque D;C1;professionnel;académique;mobilité;http://www.greek-language.gr/greekLang/certification/04d.html 
Hébreu;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Hébreu;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Hébreu;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Hébreu;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Italien;CILS A1;A1;professionnel;académique;mobilité;http://cils.unistrasi.it/ 
Italien;CILS A2;A2;professionnel;académique;mobilité;http://cils.unistrasi.it/ 
Italien;CILS B1;B1;professionnel;académique;mobilité;http://cils.unistrasi.it/ 
Italien;CILS B2;B2;professionnel;académique;mobilité;http://cils.unistrasi.it/ 
Italien;CILS C1;C1;professionnel;académique;mobilité;http://cils.unistrasi.it/ 
Italien;CILS C2;C2;professionnel;académique;mobilité;http://cils.unistrasi.it/ 
Italien;CELI A1;A1;professionnel;académique;mobilité;http://www.cvcl.it/categorie/categoria-19?explicit=SI 
Italien;CELI A2;A2;professionnel;académique;mobilité;http://www.cvcl.it/categorie/categoria-22?explicit=SI 
Italien;CELI B1;B1;professionnel;académique;mobilité;http://www.cvcl.it/categorie/categoria-65?explicit=SI 
Italien;CELI B2;B2;professionnel;académique;mobilité;http://www.cvcl.it/categorie/categoria-66?explicit=SI 
